id,created_at,tournament,matchnumber,participant,resulta,resultb,user_id
700,2022-11-20 12:15:27.977683+00,World Cup 2022,11,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
704,2022-11-20 12:15:27.977683+00,World Cup 2022,11,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
705,2022-11-20 12:15:27.977683+00,World Cup 2022,11,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
708,2022-11-20 12:15:27.977683+00,World Cup 2022,12,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
707,2022-11-20 12:15:27.977683+00,World Cup 2022,12,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
706,2022-11-20 12:15:27.977683+00,World Cup 2022,12,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
711,2022-11-20 12:15:27.977683+00,World Cup 2022,12,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
710,2022-11-20 12:15:27.977683+00,World Cup 2022,12,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
709,2022-11-20 12:15:27.977683+00,World Cup 2022,12,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
715,2022-11-20 12:15:27.977683+00,World Cup 2022,13,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
717,2022-11-20 12:15:27.977683+00,World Cup 2022,13,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
714,2022-11-20 12:15:27.977683+00,World Cup 2022,13,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
713,2022-11-20 12:15:27.977683+00,World Cup 2022,13,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
712,2022-11-20 12:15:27.977683+00,World Cup 2022,13,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
716,2022-11-20 12:15:27.977683+00,World Cup 2022,13,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
719,2022-11-20 12:15:27.977683+00,World Cup 2022,14,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
721,2022-11-20 12:15:27.977683+00,World Cup 2022,14,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
718,2022-11-20 12:15:27.977683+00,World Cup 2022,14,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
723,2022-11-20 12:15:27.977683+00,World Cup 2022,14,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
722,2022-11-20 12:15:27.977683+00,World Cup 2022,14,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
720,2022-11-20 12:15:27.977683+00,World Cup 2022,14,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
724,2022-11-20 12:15:27.977683+00,World Cup 2022,15,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
725,2022-11-20 12:15:27.977683+00,World Cup 2022,15,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
729,2022-11-20 12:15:27.977683+00,World Cup 2022,15,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
728,2022-11-20 12:15:27.977683+00,World Cup 2022,15,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
726,2022-11-20 12:15:27.977683+00,World Cup 2022,15,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
727,2022-11-20 12:15:27.977683+00,World Cup 2022,15,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
730,2022-11-20 12:15:27.977683+00,World Cup 2022,16,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
735,2022-11-20 12:15:27.977683+00,World Cup 2022,16,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
734,2022-11-20 12:15:27.977683+00,World Cup 2022,16,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
733,2022-11-20 12:15:27.977683+00,World Cup 2022,16,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
732,2022-11-20 12:15:27.977683+00,World Cup 2022,16,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
731,2022-11-20 12:15:27.977683+00,World Cup 2022,16,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
